VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1C4JJXP68M,Yakima,Selah,WA,98942,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,13.0,217161388,POINT (-120.53113 46.65404),PACIFICORP,53077003004
5YJ3E1EB0N,King,North Bend,WA,98045,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,5.0,203994556,POINT (-121.7831 47.49348),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032706
5YJSA1E51N,King,Enumclaw,WA,98022,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,31.0,198320237,POINT (-121.99136 47.20433),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031302
1N4BZ1CP3K,Snohomish,Stanwood,WA,98292,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,10.0,476749843,POINT (-122.37265 48.24159),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53061053302
JTDKARFP1H,Pierce,Fircrest,WA,98466,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,28.0,308977252,POINT (-122.5338 47.23594),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072305
1N4BZ0CP4H,King,Kenmore,WA,98028,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,46.0,128626382,POINT (-122.24369 47.75892),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021600
3FMTK3SU5M,Snohomish,Snohomish,WA,98290,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,44.0,177847827,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052502
7SAYGDEF3N,King,Seattle,WA,98121,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36.0,207229963,POINT (-122.34468 47.61578),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007201
1G1FW6S04H,Island,Langley,WA,98260,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,10.0,349058433,POINT (-122.40618 48.0399),PUGET SOUND ENERGY INC,53029972000
KNDCE3LG4N,Spokane,Spokane,WA,99223,2022,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,6.0,186885744,POINT (-117.36043 47.63396),BONNEVILLE POWER ADMINISTRATION||INLAND POWER & LIGHT COMPANY,53063013401
KM8KMDAF5N,Snohomish,Everett,WA,98208,2022,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,21.0,186739192,POINT (-122.18637 47.89252),PUGET SOUND ENERGY INC,53061041813
5YJ3E1EB8J,King,Issaquah,WA,98029,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,5.0,277123353,POINT (-122.00292 47.54748),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032220
KM8KMDAF2N,Kitsap,Bremerton,WA,98310,2022,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23.0,192862169,POINT (-122.61624 47.57772),PUGET SOUND ENERGY INC,53035091800
5LMTJ5DZ1N,King,Seattle,WA,98126,2022,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,28,0,34.0,194456769,POINT (-121.97745 47.53433),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010601
5YJYGDEEXM,King,Bellevue,WA,98006,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41.0,137381016,POINT (-122.12096 47.55584),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024902
1G1FZ6S08M,Kitsap,Bremerton,WA,98310,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23.0,152567383,POINT (-122.61624 47.57772),PUGET SOUND ENERGY INC,53035080102
5YJ3E1EA0K,Benton,Kennewick,WA,99336,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,8.0,220561064,POINT (-119.11698 46.20804),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,53005010816
WMEEJ9AA9G,King,Seattle,WA,98117,2016,SMART,FORTWO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,68,0,36.0,297584843,POINT (-122.38418 47.70044),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001702
5YJ3E1EB7J,King,Sammamish,WA,98074,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,45.0,302899208,POINT (-122.02054 47.60326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032225
5YJ3E1EA8J,King,Seattle,WA,98144,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,37.0,475012485,POINT (-122.30866 47.57874),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009500
3FA6P0PU1J,Clark,La Center,WA,98629,2018,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,18.0,148606328,POINT (-122.67244 45.86161),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040201
KNDC3DLC0N,Snohomish,Lake Stevens,WA,98258,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,44.0,195111262,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052603
5UXTS1C08L,King,Kent,WA,98031,2020,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,47.0,166957500,POINT (-122.17743 47.41185),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029405
7SAYGDEE3P,Snohomish,Mukilteo,WA,98275,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,21.0,224275096,POINT (-122.29196 47.89908),PUGET SOUND ENERGY INC,53061041301
KNDC4DLCXN,King,Renton,WA,98055,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,11.0,193884806,POINT (-122.21152 47.43954),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029308
2C4RC1N77N,King,Seattle,WA,98105,2022,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,46.0,227129731,POINT (-122.31307 47.66127),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004101
5YJ3E1EA4P,King,Bellevue,WA,98008,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48.0,225731614,POINT (-122.11867 47.63131),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023403
5YJ3E1EB0N,King,Mercer Island,WA,98040,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41.0,192340459,POINT (-122.21238 47.57816),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024601
7SAYGDEE6P,Snohomish,Edmonds,WA,98026,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,21.0,221286600,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061042003
1G1FY6S01K,Thurston,Olympia,WA,98502,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,35.0,121863374,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011902
7SAYGDEE8N,King,Seattle,WA,98133,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,32.0,220758583,POINT (-122.3503 47.71868),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000402
7SAYGDEF0N,Clark,Vancouver,WA,98662,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,49.0,196147080,POINT (-122.57722 45.64251),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041107
WVGGNPE21N,Douglas,East Wenatchee,WA,98802,2022,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,12.0,219663013,POINT (-120.29473 47.41515),PUD NO 1 OF DOUGLAS COUNTY,53017950600
KM8KNDAFXP,King,Seattle,WA,98103,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,43.0,224775659,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005000
3FA6P0SU1K,King,Federal Way,WA,98023,2019,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,30.0,208983701,POINT (-122.35206 47.30297),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030312
JHMZC5F18L,Pierce,Orting,WA,98360,2020,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,2.0,106968242,POINT (-122.20166 47.09596),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070403
3FA6P0SU2H,Clark,Camas,WA,98607,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,14.0,141070961,POINT (-122.40199 45.58694),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040511
5YJSA1E56N,King,Shoreline,WA,98133,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,32.0,218151629,POINT (-122.3503 47.71868),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020302
1G1RA6E40D,Clallam,Port Angeles,WA,98362,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,24.0,150355845,POINT (-123.4313 48.11872),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,53009001300
7SAYGDEE9N,King,Seattle,WA,98103,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,46.0,214895236,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001900
KNDCD3LD6N,Kitsap,Port Orchard,WA,98367,2022,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,26.0,207208452,POINT (-122.65745 47.4916),PUGET SOUND ENERGY INC,53035092801
5YJ3E1EA6J,Kitsap,Bremerton,WA,98312,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,35.0,333981623,POINT (-122.66122 47.56573),PUGET SOUND ENERGY INC,53035080900
1G1FY6S06M,Skagit,Anacortes,WA,98221,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,40.0,151833405,POINT (-122.61214 48.51748),PUGET SOUND ENERGY INC,53057940403
JA4J24A53K,Skagit,Mount Vernon,WA,98273,2019,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,40.0,120539772,POINT (-122.33891 48.41644),PUGET SOUND ENERGY INC,53057952600
5YJYGDEE9M,Pierce,Roy,WA,98580,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2.0,142672218,POINT (-122.54332 47.00328),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053073001
1N4AZ1CP6J,Snohomish,Edmonds,WA,98026,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,32.0,250910677,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050402
KNDC3DLC7N,King,Bellevue,WA,98006,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41.0,211637317,POINT (-122.12096 47.55584),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024800
5YJ3E1EA8L,King,Seattle,WA,98107,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,36.0,127203646,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003202
1G1RA6S59H,Jefferson,Port Townsend,WA,98368,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,24.0,172086841,POINT (-122.77263 48.1212),BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,53031950604
1G1RA6E43E,King,Kent,WA,98042,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,47.0,476936449,POINT (-122.09124 47.33778),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029307
5YJ3E1EA9J,King,Renton,WA,98058,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,11.0,101125237,POINT (-122.08747 47.4466),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031911
5YJSA1E22F,King,Maple Valley,WA,98038,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,5.0,289204079,POINT (-122.04526 47.39394),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032010
1G1RA6S50H,Lewis,Chehalis,WA,98532,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,20.0,348775325,POINT (-122.96462 46.6621),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53041971300
5YJ3E1EA4K,King,Seattle,WA,98105,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,43.0,477420247,POINT (-122.31307 47.66127),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004402
JTDKAMFP3M,Pierce,Spanaway,WA,98387,2021,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,29.0,157696136,POINT (-122.41046 47.06512),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053071413
1C4JJXP69N,Whatcom,Bellingham,WA,98229,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,40.0,207218994,POINT (-122.45516 48.74487),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000808
5YJSA1CN0D,King,Maple Valley,WA,98038,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,5.0,115484778,POINT (-122.04526 47.39394),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031604
KNDCD3LD7J,King,Auburn,WA,98092,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,47.0,118795981,POINT (-122.17663 47.32326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031208
1FT6W1EV9N,Benton,Kennewick,WA,99338,2022,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,8.0,223742725,POINT (-119.3118 46.20664),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,53005010815
1N4BZ0CP5H,Jefferson,Port Townsend,WA,98368,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,24.0,101321489,POINT (-122.77263 48.1212),BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,53031950602
7SAYGDEE5N,Snohomish,Bothell,WA,98012,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,44.0,220292894,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052007
KM8S7DA28N,Benton,Richland,WA,99352,2022,HYUNDAI,SANTA FE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,31,0,8.0,193535912,POINT (-119.27372 46.27391),BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),53005010818
KNDCC3LDXK,King,Carnation,WA,98014,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,5.0,477517806,POINT (-121.91353 47.64901),CITY OF TACOMA - (WA)||TANNER ELECTRIC COOP,53033032500
5YJ3E1EA6J,King,Federal Way,WA,98003,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,30.0,144696982,POINT (-122.3303 47.30151),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030102
